,YYYY.MM.DD.DOY.,yield,irrigation_demand,county_name,crop,lat_lon
302,2005-07-11(192),7785.301758,368,WallaWalla,Winter_Wheat,46.03125N118.40625W
303,2006-07-10(191),8052.45459,296,WallaWalla,Winter_Wheat,46.03125N118.40625W
304,2007-07-19(200),5610.243652,336,WallaWalla,Winter_Wheat,46.03125N118.40625W
305,2008-07-19(201),7038.73584,336,WallaWalla,Winter_Wheat,46.03125N118.40625W
306,2009-07-13(194),7388.697754,288,WallaWalla,Winter_Wheat,46.03125N118.40625W
307,2010-07-16(197),8862.543945,328,WallaWalla,Winter_Wheat,46.03125N118.40625W
308,2011-07-21(202),9145.895508,288,WallaWalla,Winter_Wheat,46.03125N118.40625W
309,2012-07-15(197),8727.661133,280,WallaWalla,Winter_Wheat,46.03125N118.40625W
310,2013-07-05(186),7823.843262,280,WallaWalla,Winter_Wheat,46.03125N118.40625W
311,2014-07-10(191),7162.645996,368,WallaWalla,Winter_Wheat,46.03125N118.40625W
312,2015-06-14(165),8049.916992,320,WallaWalla,Winter_Wheat,46.03125N118.40625W
313,2016-06-19(171),7417.890625,352,WallaWalla,Winter_Wheat,46.03125N118.40625W
314,2017-07-11(192),8348.31543,272,WallaWalla,Winter_Wheat,46.03125N118.40625W
315,2018-07-12(193),6481.490723,336,WallaWalla,Winter_Wheat,46.03125N118.40625W
316,2019-07-15(196),7589.078125,280,WallaWalla,Winter_Wheat,46.03125N118.40625W
317,1980-10-31(305),15054.80176,480,Yakima,Corn_grain,46.15625N119.96875W
318,1981-11-01(305),15260.26953,480,Yakima,Corn_grain,46.15625N119.96875W
319,1982-11-01(305),17966.4082,506.892029,Yakima,Corn_grain,46.15625N119.96875W
320,1983-11-01(305),19256.51758,536.901489,Yakima,Corn_grain,46.15625N119.96875W
321,1984-10-31(305),11778.81641,420,Yakima,Corn_grain,46.15625N119.96875W
322,1985-11-01(305),12064.41895,420,Yakima,Corn_grain,46.15625N119.96875W
323,1986-11-01(305),16077.85254,540,Yakima,Corn_grain,46.15625N119.96875W
324,1987-11-01(305),14413.89844,510,Yakima,Corn_grain,46.15625N119.96875W
325,1988-10-31(305),15717.42969,540,Yakima,Corn_grain,46.15625N119.96875W
326,1989-11-01(305),15054.81641,510,Yakima,Corn_grain,46.15625N119.96875W
327,1990-11-01(305),10895.2168,390,Yakima,Corn_grain,46.15625N119.96875W
328,1991-11-01(305),14986.62988,540,Yakima,Corn_grain,46.15625N119.96875W
329,1992-10-31(305),13656.98828,479.835358,Yakima,Corn_grain,46.15625N119.96875W
330,1993-11-01(305),19451.30859,568.541077,Yakima,Corn_grain,46.15625N119.96875W
331,1994-11-01(305),13077.7041,510,Yakima,Corn_grain,46.15625N119.96875W
332,1995-11-01(305),16680.18945,480,Yakima,Corn_grain,46.15625N119.96875W
333,1996-10-31(305),12535.89941,450,Yakima,Corn_grain,46.15625N119.96875W
334,1997-11-01(305),15230.77441,479.044891,Yakima,Corn_grain,46.15625N119.96875W
335,1998-11-01(305),12510.45898,448.518524,Yakima,Corn_grain,46.15625N119.96875W
336,1999-11-01(305),12360.48242,450,Yakima,Corn_grain,46.15625N119.96875W
337,2000-10-31(305),16609.83789,540,Yakima,Corn_grain,46.15625N119.96875W
338,2001-11-01(305),12891.36523,510,Yakima,Corn_grain,46.15625N119.96875W
339,2002-11-01(305),15589.22656,539.477051,Yakima,Corn_grain,46.15625N119.96875W
340,2003-11-01(305),11130.92383,450,Yakima,Corn_grain,46.15625N119.96875W
341,2004-10-31(305),14269.7666,449.93631,Yakima,Corn_grain,46.15625N119.96875W
342,2005-11-01(305),14341.76758,540,Yakima,Corn_grain,46.15625N119.96875W
343,2006-11-01(305),13705.20801,510,Yakima,Corn_grain,46.15625N119.96875W
344,2007-11-01(305),12533.63965,450,Yakima,Corn_grain,46.15625N119.96875W
345,2008-10-31(305),15030.48731,510,Yakima,Corn_grain,46.15625N119.96875W
346,2009-11-01(305),13496.65918,510,Yakima,Corn_grain,46.15625N119.96875W
347,2010-11-01(305),12973.99121,420,Yakima,Corn_grain,46.15625N119.96875W
348,2011-11-01(305),16416.75977,510,Yakima,Corn_grain,46.15625N119.96875W
349,2012-10-31(305),14085.18555,479.971924,Yakima,Corn_grain,46.15625N119.96875W
350,2013-11-01(305),12667.7041,448.79718,Yakima,Corn_grain,46.15625N119.96875W
351,2014-11-01(305),10647.13086,390,Yakima,Corn_grain,46.15625N119.96875W
352,2015-11-01(305),11179.66309,450,Yakima,Corn_grain,46.15625N119.96875W
353,2016-10-31(305),14029.15625,480,Yakima,Corn_grain,46.15625N119.96875W
354,2017-11-01(305),11495.81348,450,Yakima,Corn_grain,46.15625N119.96875W
355,2018-11-01(305),14688.00195,540,Yakima,Corn_grain,46.15625N119.96875W
356,2019-11-01(305),16028.35742,479.420166,Yakima,Corn_grain,46.15625N119.96875W
357,1980-10-31(305),18111.28906,600,Yakima,Corn_grain,46.21875N119.34375W
358,1981-11-01(305),16036.34668,600,Yakima,Corn_grain,46.21875N119.34375W
359,1982-11-01(305),16148.75,540,Yakima,Corn_grain,46.21875N119.34375W
360,1983-11-01(305),17796.1582,560,Yakima,Corn_grain,46.21875N119.34375W
361,1984-10-31(305),16637.65039,600,Yakima,Corn_grain,46.21875N119.34375W
362,1985-11-01(305),14989.60254,600,Yakima,Corn_grain,46.21875N119.34375W
363,1986-10-09(282),16625.79688,580,Yakima,Corn_grain,46.21875N119.34375W
364,1987-10-03(276),16160.88965,580,Yakima,Corn_grain,46.21875N119.34375W
365,1988-10-07(281),16341.89453,600,Yakima,Corn_grain,46.21875N119.34375W
366,1989-11-01(305),16902.70313,640,Yakima,Corn_grain,46.21875N119.34375W
367,1990-09-26(269),13110.44727,520,Yakima,Corn_grain,46.21875N119.34375W
368,1991-10-07(280),14524.97363,580,Yakima,Corn_grain,46.21875N119.34375W
369,1992-09-26(270),13721.21973,520,Yakima,Corn_grain,46.21875N119.34375W
370,1993-11-01(305),18909.27734,620,Yakima,Corn_grain,46.21875N119.34375W
371,1994-09-28(271),14323.82617,580,Yakima,Corn_grain,46.21875N119.34375W
372,1995-11-01(305),17120.25781,560,Yakima,Corn_grain,46.21875N119.34375W
373,1996-10-31(305),16183.31543,580,Yakima,Corn_grain,46.21875N119.34375W
374,1997-10-01(274),16175.29004,520,Yakima,Corn_grain,46.21875N119.34375W
375,1998-09-18(261),13731.44629,500,Yakima,Corn_grain,46.21875N119.34375W
376,1999-11-01(305),16268.99023,640,Yakima,Corn_grain,46.21875N119.34375W
377,2000-10-29(303),15552.33106,620,Yakima,Corn_grain,46.21875N119.34375W
378,2001-09-26(269),15425.82715,600,Yakima,Corn_grain,46.21875N119.34375W
379,2002-10-02(275),14854.49805,580,Yakima,Corn_grain,46.21875N119.34375W
380,2003-09-20(263),14508.0459,560,Yakima,Corn_grain,46.21875N119.34375W
381,2004-09-29(273),13991.81055,500,Yakima,Corn_grain,46.21875N119.34375W
382,2005-10-13(286),14145.87598,580,Yakima,Corn_grain,46.21875N119.34375W
383,2006-09-28(271),15353.81152,560,Yakima,Corn_grain,46.21875N119.34375W
384,2007-10-09(282),15384.31738,580,Yakima,Corn_grain,46.21875N119.34375W
385,2008-10-31(305),16530.80859,620,Yakima,Corn_grain,46.21875N119.34375W
386,2009-09-23(266),15686.15234,580,Yakima,Corn_grain,46.21875N119.34375W
387,2010-11-01(305),16530.37695,600,Yakima,Corn_grain,46.21875N119.34375W
388,2011-11-01(305),17134.12109,600,Yakima,Corn_grain,46.21875N119.34375W
389,2012-10-02(276),14470.24902,560,Yakima,Corn_grain,46.21875N119.34375W
390,2013-09-16(259),12658.7334,500,Yakima,Corn_grain,46.21875N119.34375W
391,2014-10-01(274),13545.80664,560,Yakima,Corn_grain,46.21875N119.34375W
392,2015-09-19(262),13496.15234,560,Yakima,Corn_grain,46.21875N119.34375W
393,2016-10-31(305),17141.62891,600,Yakima,Corn_grain,46.21875N119.34375W
394,2017-10-20(293),15185.60742,560,Yakima,Corn_grain,46.21875N119.34375W
395,2018-11-01(305),17206.8125,640,Yakima,Corn_grain,46.21875N119.34375W
396,2019-11-01(305),16746.9375,560,Yakima,Corn_grain,46.21875N119.34375W
397,1981-08-15(227),9642.411133,560,Yakima,Winter_Wheat,46.15625N119.34375W
398,1982-08-23(235),8881.208008,580,Yakima,Winter_Wheat,46.15625N119.34375W
399,1983-08-15(227),9566.423828,580,Yakima,Winter_Wheat,46.15625N119.34375W
400,1984-08-23(236),8970.612305,560,Yakima,Winter_Wheat,46.15625N119.34375W
401,1985-08-23(235),8212.790039,620,Yakima,Winter_Wheat,46.15625N119.34375W
402,1986-08-20(232),8437.958008,600,Yakima,Winter_Wheat,46.15625N119.34375W
403,1987-08-07(219),8881.207031,560,Yakima,Winter_Wheat,46.15625N119.34375W
404,1988-08-09(222),9678.974609,520,Yakima,Winter_Wheat,46.15625N119.34375W
405,1989-08-17(229),9006.946289,580,Yakima,Winter_Wheat,46.15625N119.34375W
406,1990-08-04(216),8993.737305,520,Yakima,Winter_Wheat,46.15625N119.34375W
407,1991-08-11(223),9668.048828,580,Yakima,Winter_Wheat,46.15625N119.34375W
408,1992-07-25(207),9063.140625,560,Yakima,Winter_Wheat,46.15625N119.34375W
409,1993-08-25(237),9585.769531,560,Yakima,Winter_Wheat,46.15625N119.34375W
410,1994-08-10(222),8283.287109,560,Yakima,Winter_Wheat,46.15625N119.34375W
411,1995-08-05(217),9801.993164,500,Yakima,Winter_Wheat,46.15625N119.34375W
412,1996-08-11(224),9753.869141,540,Yakima,Winter_Wheat,46.15625N119.34375W
413,1997-08-20(232),8657.152344,560,Yakima,Winter_Wheat,46.15625N119.34375W
414,1998-08-10(222),8590.212891,500,Yakima,Winter_Wheat,46.15625N119.34375W
415,1999-08-16(228),9919.487305,600,Yakima,Winter_Wheat,46.15625N119.34375W
416,2000-08-05(218),9829.15918,580,Yakima,Winter_Wheat,46.15625N119.34375W
417,2001-08-16(228),8793.276367,620,Yakima,Winter_Wheat,46.15625N119.34375W
418,2002-08-12(224),9124.230469,580,Yakima,Winter_Wheat,46.15625N119.34375W
419,2003-08-02(214),9222.475586,560,Yakima,Winter_Wheat,46.15625N119.34375W
420,2004-08-03(216),9560.928711,540,Yakima,Winter_Wheat,46.15625N119.34375W
421,2005-08-11(223),8093.595703,540,Yakima,Winter_Wheat,46.15625N119.34375W
422,2006-08-13(225),8569.21582,540,Yakima,Winter_Wheat,46.15625N119.34375W
423,2007-08-16(228),8806.671875,600,Yakima,Winter_Wheat,46.15625N119.34375W
424,2008-08-23(236),8729.162109,580,Yakima,Winter_Wheat,46.15625N119.34375W
425,2009-08-10(222),9131.75,540,Yakima,Winter_Wheat,46.15625N119.34375W
426,2010-08-15(227),9829.661133,520,Yakima,Winter_Wheat,46.15625N119.34375W
427,2011-08-28(240),10166.76074,540,Yakima,Winter_Wheat,46.15625N119.34375W
428,2012-08-18(231),9210.589844,560,Yakima,Winter_Wheat,46.15625N119.34375W
429,2013-08-01(213),9417.492188,520,Yakima,Winter_Wheat,46.15625N119.34375W
430,2014-08-06(218),8603.019531,580,Yakima,Winter_Wheat,46.15625N119.34375W
431,2015-07-20(201),8786.166016,540,Yakima,Winter_Wheat,46.15625N119.34375W
432,2016-07-30(212),9805.155273,580,Yakima,Winter_Wheat,46.15625N119.34375W
433,2017-08-07(219),8996.376953,560,Yakima,Winter_Wheat,46.15625N119.34375W
434,2018-08-08(220),8496.535156,580,Yakima,Winter_Wheat,46.15625N119.34375W
435,2019-08-14(226),8703.485352,560,Yakima,Winter_Wheat,46.15625N119.34375W
436,1981-07-14(195),10114.12988,540,Yakima,Winter_Wheat,46.21875N119.34375W
437,1982-07-28(209),8744.84082,580,Yakima,Winter_Wheat,46.21875N119.34375W
438,1983-07-21(202),9385.338867,560,Yakima,Winter_Wheat,46.21875N119.34375W
439,1984-07-27(209),9338.991211,540,Yakima,Winter_Wheat,46.21875N119.34375W
440,1985-07-29(210),6403.857422,560,Yakima,Winter_Wheat,46.21875N119.34375W
441,1986-07-28(209),7807.941895,580,Yakima,Winter_Wheat,46.21875N119.34375W
442,1987-07-17(198),7429.947266,560,Yakima,Winter_Wheat,46.21875N119.34375W
443,1988-07-13(195),9202.144531,560,Yakima,Winter_Wheat,46.21875N119.34375W
444,1989-07-27(208),7647.078613,560,Yakima,Winter_Wheat,46.21875N119.34375W
445,1990-07-13(194),8837.394531,580,Yakima,Winter_Wheat,46.21875N119.34375W
446,1991-07-18(199),9775.22168,620,Yakima,Winter_Wheat,46.21875N119.34375W
447,1992-06-27(179),7663.435547,540,Yakima,Winter_Wheat,46.21875N119.34375W
448,1993-08-04(216),8593.367188,580,Yakima,Winter_Wheat,46.21875N119.34375W
449,1994-07-23(204),7381.865234,580,Yakima,Winter_Wheat,46.21875N119.34375W
450,1995-07-13(194),9078.742188,480,Yakima,Winter_Wheat,46.21875N119.34375W
451,1996-07-24(206),9318.040039,540,Yakima,Winter_Wheat,46.21875N119.34375W
452,1997-08-02(214),8372.756836,540,Yakima,Winter_Wheat,46.21875N119.34375W
453,1998-07-14(195),9008.208984,520,Yakima,Winter_Wheat,46.21875N119.34375W
454,1999-07-19(200),9182.248047,640,Yakima,Winter_Wheat,46.21875N119.34375W
455,2000-07-13(195),8874.47168,580,Yakima,Winter_Wheat,46.21875N119.34375W
456,2001-07-25(206),7524.19873,600,Yakima,Winter_Wheat,46.21875N119.34375W
457,2002-07-17(198),8901.876953,560,Yakima,Winter_Wheat,46.21875N119.34375W
458,2003-07-14(195),8785.373047,520,Yakima,Winter_Wheat,46.21875N119.34375W
459,2004-07-16(198),8867.296875,520,Yakima,Winter_Wheat,46.21875N119.34375W
460,2005-07-18(199),8751.025391,580,Yakima,Winter_Wheat,46.21875N119.34375W
461,2006-07-21(202),8667.308594,500,Yakima,Winter_Wheat,46.21875N119.34375W
462,2007-07-28(209),7171.170898,580,Yakima,Winter_Wheat,46.21875N119.34375W
463,2008-07-30(212),7501.860352,580,Yakima,Winter_Wheat,46.21875N119.34375W
464,2009-07-20(201),8101.087402,560,Yakima,Winter_Wheat,46.21875N119.34375W
465,2010-07-26(207),9391.088867,540,Yakima,Winter_Wheat,46.21875N119.34375W
466,2011-08-01(213),10453.29883,600,Yakima,Winter_Wheat,46.21875N119.34375W
467,2012-07-23(205),9194.168945,560,Yakima,Winter_Wheat,46.21875N119.34375W
468,2013-07-10(191),8785.373047,540,Yakima,Winter_Wheat,46.21875N119.34375W
469,2014-07-20(201),8446.935547,640,Yakima,Winter_Wheat,46.21875N119.34375W
470,2015-07-01(182),7944.812012,580,Yakima,Winter_Wheat,46.21875N119.34375W
471,2016-07-16(198),9094.995117,560,Yakima,Winter_Wheat,46.21875N119.34375W
472,2017-07-24(205),8705.839844,500,Yakima,Winter_Wheat,46.21875N119.34375W
473,2018-07-24(205),7546.969727,620,Yakima,Winter_Wheat,46.21875N119.34375W
474,2019-07-30(211),7462.73291,580,Yakima,Winter_Wheat,46.21875N119.34375W
